Fecha,Frecuencia
2020-03-12,2.0
2020-03-13,1.0
2020-03-14,1.0
2020-03-15,1.0
2020-03-16,0.0
2020-03-17,3.0
2020-03-18,0.0
2020-03-19,0.0
2020-03-20,1.0
2020-03-21,1.0
2020-03-22,4.0
2020-03-23,1.0
2020-03-24,5.0
2020-03-25,3.0
2020-03-26,1.0
2020-03-27,0.0
2020-03-28,3.0
2020-03-29,0.0
2020-03-30,2.0
2020-03-31,3.0
2020-04-01,0.0
2020-04-02,0.0
2020-04-03,1.0
2020-04-04,0.0
2020-04-05,0.0
2020-04-06,3.0
2020-04-07,0.0
2020-04-08,0.0
2020-04-09,1.0
2020-04-10,2.0
2020-04-11,0.0
2020-04-12,1.0
2020-04-13,1.0
2020-04-14,0.0
2020-04-15,0.0
2020-04-16,0.0
2020-04-17,1.0
2020-04-18,0.0
2020-04-19,0.0
2020-04-20,1.0
2020-04-21,0.0
2020-04-22,0.0
2020-04-23,0.0
2020-04-24,0.0
2020-04-25,1.0
2020-04-26,0.0
2020-04-27,0.0
2020-04-28,0.0
2020-04-29,0.0
2020-04-30,0.0
2020-05-01,0.0
2020-05-02,1.0
2020-05-03,0.0
2020-05-04,1.0
2020-05-05,0.0
2020-05-06,2.0
2020-05-07,2.0
2020-05-08,1.0
2020-05-09,0.0
2020-05-10,1.0
2020-05-11,1.0
2020-05-12,1.0
2020-05-13,0.0
2020-05-14,1.0
2020-05-15,4.0
2020-05-16,3.0
2020-05-17,2.0
2020-05-18,1.0
2020-05-19,0.0
2020-05-20,3.0
2020-05-21,3.0
2020-05-22,6.0
2020-05-23,8.0
2020-05-24,19.0
2020-05-25,8.0
2020-05-26,11.0
2020-05-27,4.0
2020-05-28,3.0
2020-05-29,6.0
2020-05-30,4.0
2020-05-31,7.0
2020-06-01,25.0
2020-06-02,11.0
2020-06-03,10.0
2020-06-04,24.0
2020-06-05,9.0
2020-06-06,15.0
2020-06-07,5.0
2020-06-08,10.0
2020-06-09,18.0
2020-06-10,20.0
2020-06-11,26.0
2020-06-12,18.0
2020-06-13,25.0
2020-06-14,46.0
2020-06-15,48.0
2020-06-16,21.0
2020-06-17,26.0
2020-06-18,39.0
2020-06-19,19.0
2020-06-20,35.0
2020-06-21,33.0
2020-06-22,37.0
2020-06-23,51.0
2020-06-24,45.0
2020-06-25,61.0
2020-06-26,82.0
2020-06-27,61.0
2020-06-28,79.0
2020-06-29,64.0
2020-06-30,62.0
2020-07-01,79.0
2020-07-02,76.0
2020-07-03,74.0
2020-07-04,78.0
2020-07-05,143.0
2020-07-06,138.0
2020-07-07,124.0
2020-07-08,114.0
2020-07-09,130.0
2020-07-10,192.0
2020-07-11,131.0
2020-07-12,173.0
2020-07-13,218.0
2020-07-14,166.0
2020-07-15,261.0
2020-07-16,267.0
2020-07-17,236.0
2020-07-18,252.0
2020-07-19,152.0
2020-07-20,294.0
2020-07-21,287.0
2020-07-22,333.0
2020-07-23,421.0
2020-07-24,587.0
2020-07-25,475.0
2020-07-26,417.0
2020-07-27,496.0
2020-07-28,443.0
2020-07-29,429.0
2020-07-30,491.0
2020-07-31,480.0
2020-08-01,617.0
2020-08-02,412.0
2020-08-03,507.0
2020-08-04,509.0
2020-08-05,494.0
2020-08-06,512.0
2020-08-07,420.0
2020-08-08,463.0
2020-08-09,390.0
2020-08-10,661.0
2020-08-11,467.0
2020-08-12,451.0
2020-08-13,498.0
2020-08-14,508.0
2020-08-15,599.0
2020-08-16,510.0
2020-08-17,469.0
2020-08-18,491.0
2020-08-19,658.0
2020-08-20,624.0
2020-08-21,443.0
2020-08-22,373.0
2020-08-23,484.0
2020-08-24,468.0
2020-08-25,481.0
2020-08-26,439.0
2020-08-27,422.0
2020-08-28,397.0
2020-08-29,445.0
2020-08-30,438.0
2020-08-31,418.0
2020-09-01,393.0
2020-09-02,328.0
2020-09-03,412.0
2020-09-04,349.0
2020-09-05,467.0
2020-09-06,310.0
2020-09-07,506.0
2020-09-08,448.0
2020-09-09,439.0
2020-09-10,527.0
2020-09-11,319.0
2020-09-12,312.0
2020-09-13,270.0
2020-09-14,363.0
2020-09-15,364.0
2020-09-16,417.0
2020-09-17,400.0
2020-09-18,322.0
2020-09-19,281.0
2020-09-20,271.0
2020-09-21,397.0
2020-09-22,401.0
2020-09-23,321.0
2020-09-24,310.0
2020-09-25,361.0
2020-09-26,301.0
2020-09-27,334.0
2020-09-28,420.0
2020-09-29,422.0
2020-09-30,444.0
2020-10-01,476.0
2020-10-02,314.0
2020-10-03,339.0
2020-10-04,247.0
2020-10-05,400.0
2020-10-06,352.0
2020-10-07,320.0
2020-10-08,313.0
2020-10-09,392.0
2020-10-10,412.0
2020-10-11,289.0
2020-10-12,278.0
2020-10-13,446.0
2020-10-14,363.0
